2026-06-23 14:03:17 | DEBUG    | main_step1                     | Logger 'main_step1' initialised.  Console=INFO  File=DEBUG  → /home/pantaddh/Desktop/Addy thesis/Thesis latest4/Stage1_DataPipeline/logs/pipeline_step1.log
2026-06-23 14:03:17 | INFO     | main_step1                     | ======================================================================
2026-06-23 14:03:17 | INFO     | main_step1                     | Micro-Expression Recognition - Thesis Data Pipeline
2026-06-23 14:03:17 | INFO     | main_step1                     | Stage 1 / Step 1: Unified Metadata Generation
2026-06-23 14:03:17 | INFO     | main_step1                     | ======================================================================
2026-06-23 14:03:17 | INFO     | main_step1                     | --force flag detected. Resetting all checkpoints...
2026-06-23 14:03:17 | DEBUG    | main_step1                     |   (not found, skipping): /home/pantaddh/Desktop/Addy thesis/Thesis latest4/Processed_Data/checkpoints/processed_state.json
2026-06-23 14:03:17 | DEBUG    | main_step1                     |   (not found, skipping): /home/pantaddh/Desktop/Addy thesis/Thesis latest4/Processed_Data/master_thesis_labels.csv
2026-06-23 14:03:17 | DEBUG    | main_step1                     |   (not found, skipping): /home/pantaddh/Desktop/Addy thesis/Thesis latest4/Processed_Data/intermediates
2026-06-23 14:03:17 | INFO     | main_step1                     | Force reset complete.  All checkpoints cleared.
2026-06-23 14:03:17 | INFO     | main_step1                     | Running pre-flight checks...
2026-06-23 14:03:17 | INFO     | main_step1                     |   [OK] CASME II Excel:     /home/pantaddh/Desktop/Addy thesis/DATASETS/CASME_Ⅱ/CASME2-coding-20140508.xlsx
2026-06-23 14:03:17 | INFO     | main_step1                     |   [OK] CASME II Frames:    /home/pantaddh/Desktop/Addy thesis/DATASETS/CASME_Ⅱ/Cropped
2026-06-23 14:03:17 | INFO     | main_step1                     |   [SKIP] CAS(ME)^2 checks skipped (CASME-II-only mode).
2026-06-23 14:03:17 | INFO     | main_step1                     | All pre-flight checks passed.

2026-06-23 14:03:17 | DEBUG    | PipelineManager                | Logger 'PipelineManager' initialised.  Console=INFO  File=DEBUG  → /home/pantaddh/Desktop/Addy thesis/Thesis latest4/Stage1_DataPipeline/logs/pipeline_step1.log
2026-06-23 14:03:17 | DEBUG    | CheckpointManager              | Logger 'CheckpointManager' initialised.  Console=INFO  File=DEBUG  → /home/pantaddh/Desktop/Addy thesis/Thesis latest4/Stage1_DataPipeline/logs/pipeline_step1.log
2026-06-23 14:03:17 | INFO     | CheckpointManager              | Created new checkpoint file at /home/pantaddh/Desktop/Addy thesis/Thesis latest4/Processed_Data/checkpoints/processed_state.json
2026-06-23 14:03:17 | INFO     | PipelineManager                | ======================================================================
2026-06-23 14:03:17 | INFO     | PipelineManager                | STAGE 1 / STEP 1 - Unified Metadata Pipeline
2026-06-23 14:03:17 | INFO     | PipelineManager                | ======================================================================
2026-06-23 14:03:17 | INFO     | PipelineManager                | Checkpoint status:
No blocks registered yet.
2026-06-23 14:03:17 | DEBUG    | CASMEIIUnifier                 | Logger 'CASMEIIUnifier' initialised.  Console=INFO  File=DEBUG  → /home/pantaddh/Desktop/Addy thesis/Thesis latest4/Stage1_DataPipeline/logs/pipeline_step1.log
2026-06-23 14:03:17 | INFO     | CASMEIIUnifier                 | ══════════════════════════════════════════════════════════════════════
2026-06-23 14:03:17 | INFO     | CASMEIIUnifier                 | Starting unification for: CASMEIIUnifier
2026-06-23 14:03:17 | INFO     | CASMEIIUnifier                 | ══════════════════════════════════════════════════════════════════════
2026-06-23 14:03:17 | INFO     | CASMEIIUnifier                 | Reading CASME II Excel: /home/pantaddh/Desktop/Addy thesis/DATASETS/CASME_Ⅱ/CASME2-coding-20140508.xlsx
2026-06-23 14:03:17 | INFO     | CASMEIIUnifier                 | Successfully read 255 rows × 9 columns from CASME II Excel.
2026-06-23 14:03:17 | DEBUG    | CASMEIIUnifier                 | Raw columns: ['Subject', 'Filename', 'Unnamed: 2', 'OnsetFrame', 'ApexFrame', 'OffsetFrame', 'Unnamed: 6', 'Action Units', 'Estimated Emotion']
2026-06-23 14:03:17 | INFO     | CASMEIIUnifier                 | Raw DataFrame loaded.  Shape: (255, 9)
2026-06-23 14:03:17 | DEBUG    | CASMEIIUnifier                 | Calculated Sequence Length: 41  (Onset=46, Offset=86, Video='EP02_01f')
2026-06-23 14:03:17 | DEBUG    | CASMEIIUnifier                 | CASME_II │ sub01 │ EP02_01f     │ Onset=  46  Offset=  86  SeqLen= 41 │ happiness → Positive │ Frames=✓
2026-06-23 14:03:17 | DEBUG    | CASMEIIUnifier                 | Calculated Sequence Length: 31  (Onset=131, Offset=161, Video='EP03_02')
2026-06-23 14:03:17 | DEBUG    | CASMEIIUnifier                 | CASME_II │ sub01 │ EP03_02      │ Onset= 131  Offset= 161  SeqLen= 31 │ others → Others │ Frames=✓
2026-06-23 14:03:17 | DEBUG    | CASMEIIUnifier                 | Calculated Sequence Length: 56  (Onset=21, Offset=76, Video='EP04_02')
2026-06-23 14:03:17 | DEBUG    | CASMEIIUnifier                 | CASME_II │ sub01 │ EP04_02      │ Onset=  21  Offset=  76  SeqLen= 56 │ others → Others │ Frames=✓
2026-06-23 14:03:17 | DEBUG    | CASMEIIUnifier                 | Calculated Sequence Length: 26  (Onset=31, Offset=56, Video='EP04_03')
2026-06-23 14:03:17 | DEBUG    | CASMEIIUnifier                 | CASME_II │ sub01 │ EP04_03      │ Onset=  31  Offset=  56  SeqLen= 26 │ others → Others │ Frames=✓
2026-06-23 14:03:17 | DEBUG    | CASMEIIUnifier                 | Calculated Sequence Length: 44  (Onset=23, Offset=66, Video='EP04_04')
2026-06-23 14:03:17 | DEBUG    | CASMEIIUnifier                 | CASME_II │ sub01 │ EP04_04      │ Onset=  23  Offset=  66  SeqLen= 44 │ others → Others │ Frames=✓
2026-06-23 14:03:17 | DEBUG    | CASMEIIUnifier                 | Calculated Sequence Length: 41  (Onset=26, Offset=66, Video='EP19_01')
2026-06-23 14:03:17 | DEBUG    | CASMEIIUnifier                 | CASME_II │ sub01 │ EP19_01      │ Onset=  26  Offset=  66  SeqLen= 41 │ others → Others │ Frames=✓
2026-06-23 14:03:17 | DEBUG    | CASMEIIUnifier                 | Calculated Sequence Length: 81  (Onset=81, Offset=161, Video='EP19_03f')
2026-06-23 14:03:17 | DEBUG    | CASMEIIUnifier                 | CASME_II │ sub01 │ EP19_03f     │ Onset=  81  Offset= 161  SeqLen= 81 │ others → Others │ Frames=✓
2026-06-23 14:03:17 | DEBUG    | CASMEIIUnifier                 | Calculated Sequence Length: 51  (Onset=396, Offset=446, Video='EP19_05f')
2026-06-23 14:03:17 | DEBUG    | CASMEIIUnifier                 | CASME_II │ sub01 │ EP19_05f     │ Onset= 396  Offset= 446  SeqLen= 51 │ disgust → Negative │ Frames=✓
2026-06-23 14:03:17 | DEBUG    | CASMEIIUnifier                 | Calculated Sequence Length: 126  (Onset=36, Offset=161, Video='EP19_06f')
2026-06-23 14:03:17 | DEBUG    | CASMEIIUnifier                 | CASME_II │ sub01 │ EP19_06f     │ Onset=  36  Offset= 161  SeqLen=126 │ disgust → Negative │ Frames=✓
2026-06-23 14:03:17 | DEBUG    | CASMEIIUnifier                 | Calculated Sequence Length: 51  (Onset=46, Offset=96, Video='EP01_11f')
2026-06-23 14:03:17 | DEBUG    | CASMEIIUnifier                 | CASME_II │ sub02 │ EP01_11f     │ Onset=  46  Offset=  96  SeqLen= 51 │ repression → Negative │ Frames=✓
2026-06-23 14:03:17 | DEBUG    | CASMEIIUnifier                 | Calculated Sequence Length: 111  (Onset=31, Offset=141, Video='EP02_04f')
2026-06-23 14:03:17 | DEBUG    | CASMEIIUnifier                 | CASME_II │ sub02 │ EP02_04f     │ Onset=  31  Offset= 141  SeqLen=111 │ repression → Negative │ Frames=✓
2026-06-23 14:03:17 | DEBUG    | CASMEIIUnifier                 | Calculated Sequence Length: 121  (Onset=16, Offset=136, Video='EP03_02f')
2026-06-23 14:03:17 | DEBUG    | CASMEIIUnifier                 | CASME_II │ sub02 │ EP03_02f     │ Onset=  16  Offset= 136  SeqLen=121 │ repression → Negative │ Frames=✓
